Zone 1:
X: 16.99, Y: 10.95
X: 23.8, Y: 25.69
X: 19.39, Y: 5.69
X: 55.26, Y: 23.99
X: 24.17, Y: 25.37
X: 23.58, Y: 26.79
X: 23.43, Y: 27.64
X: 26.13, Y: 8.91
X: 23.23, Y: 13.46
X: 49.35, Y: 23.11
X: 9.51, Y: 20.3
X: 71.19, Y: 15.53
X: 23.81, Y: 25.96
X: 16.39, Y: 13.78
X: 23.94, Y: 11.77
X: 40.58, Y: 14.32
X: 10.68, Y: 8.08
X: 41.5, Y: 16.65
X: 23.88, Y: 25.29
X: 40.6, Y: 11.28
X: 23.62, Y: 26.3
X: 19.27, Y: 4.16
X: 16.14, Y: 14.9
X: 36.21, Y: 28.94
X: 40.98, Y: 17.22
X: 16.85, Y: 6.36
X: 42.29, Y: 26.25
X: 13.36, Y: 29.84
X: 29.75, Y: 27.79
X: 41.25, Y: 10.89
X: 41.13, Y: 10.96
X: 17.61, Y: 29.06
X: 16.12, Y: 3.15
X: 15.56, Y: 18.1
X: 41.5, Y: 11.59
X: 32.82, Y: 1.49
X: 23.89, Y: 21.77
X: 41.11, Y: 10.96
X: 50.32, Y: 21.54
X: 6.7, Y: 21.37
X: 41.93, Y: 14.24
X: 5.94, Y: 20.51
X: 27.94, Y: 23.64
X: 34.46, Y: 16.62
X: 7.13, Y: 5.38
X: 41.25, Y: 10.9
X: 16.54, Y: 13.08
X: 36.46, Y: 29.64
X: 41.87, Y: 10.66
X: 39.03, Y: 11.05
X: 41.91, Y: 14.86
X: 41.13, Y: 10.95
X: 24.21, Y: 25.72
X: 41.91, Y: 14.69
X: 41.75, Y: 10.62
X: 41.78, Y: 10.66
X: 41.03, Y: 11.14
X: 41.47, Y: 10.78
X: 41.93, Y: 11.31
X: 16.76, Y: 12.15
X: 22.41, Y: 14.36
X: 41.57, Y: 10.72
X: 16.14, Y: 14.9
X: 41.26, Y: 10.91
X: 41.75, Y: 10.62
X: 41.68, Y: 15.9
X: 41.9, Y: 14.85
X: 50.05, Y: 9.79
X: 41.13, Y: 10.96
X: 16.73, Y: 12.11
X: 41.36, Y: 10.83
X: 41.02, Y: 11.03
X: 11.33, Y: 23.61
X: 42.13, Y: 13.72
X: 14.14, Y: 19.71
X: 41.76, Y: 15.52
X: 23.94, Y: 25.03
X: 23.86, Y: 25.92
X: 12.52, Y: 11.84
X: 41.36, Y: 10.83
X: 40.88, Y: 11.1
X: 41.13, Y: 10.96
X: 42.09, Y: 13.98
X: 40.81, Y: 11.1
X: 23.58, Y: 26.79
X: 16.73, Y: 12.14
X: 26.49, Y: 25.79
X: 41.0, Y: 11.02
X: 42.2, Y: 13.49
X: 41.59, Y: 16.03
X: 41.75, Y: 10.62
X: 41.84, Y: 15.19
X: 40.87, Y: 11.1
X: 16.08, Y: 8.9
X: 15.46, Y: 9.19
X: 16.4, Y: 13.78
X: 16.94, Y: 11.15
X: 16.67, Y: 12.43
X: 23.72, Y: 25.98
X: 42.09, Y: 13.98
X: 40.87, Y: 11.1
X: 42.09, Y: 13.98
X: 41.0, Y: 11.02
X: 23.66, Y: 26.39
X: 23.65, Y: 26.4
X: 41.97, Y: 14.55
X: 7.48, Y: 11.97
X: 41.0, Y: 11.02
X: 19.48, Y: 29.72
X: 42.17, Y: 13.48
X: 16.39, Y: 13.78
X: 16.09, Y: 8.96
X: 21.17, Y: 21.25
X: 42.13, Y: 13.72
X: 16.39, Y: 13.78
X: 30.25, Y: 11.1
X: 41.91, Y: 14.86
X: 27.54, Y: 12.78
X: 16.84, Y: 11.61
X: 41.13, Y: 10.96
X: 17.24, Y: 26.16
X: 40.74, Y: 11.19
X: 16.39, Y: 13.78
X: 40.87, Y: 11.1
X: 16.54, Y: 13.08
X: 41.25, Y: 10.89
X: 41.97, Y: 14.55
X: 16.77, Y: 12.13
X: 41.84, Y: 15.19
X: 23.58, Y: 26.79
X: 42.41, Y: 12.49
X: 28.09, Y: 28.61
X: 41.97, Y: 14.55
X: 41.91, Y: 14.86
X: 38.47, Y: 10.39
X: 16.67, Y: 12.43
X: 16.14, Y: 14.9
X: 45.62, Y: 9.26
X: 41.13, Y: 10.96
X: 41.12, Y: 10.98
X: 42.09, Y: 13.98
X: 41.13, Y: 10.96
X: 23.81, Y: 25.65
X: 41.94, Y: 14.8
X: 16.54, Y: 13.08
X: 16.67, Y: 12.43
X: 42.03, Y: 14.26
X: 46.54, Y: 13.2
X: 16.23, Y: 14.52
X: 41.25, Y: 10.89
X: 41.92, Y: 14.5
X: 37.69, Y: 15.58
X: 16.18, Y: 8.83
X: 16.54, Y: 13.08
X: 41.9, Y: 14.82
X: 42.09, Y: 13.98
X: 41.08, Y: 10.96
X: 16.61, Y: 12.75
X: 41.37, Y: 10.91
X: 27.27, Y: 10.12
X: 16.54, Y: 13.08
X: 41.47, Y: 10.78
X: 41.95, Y: 14.54
X: 16.54, Y: 13.08
X: 41.13, Y: 10.96
X: 41.24, Y: 10.96
Zone 2:
X: 37.12, Y: 44.5
X: 37.53, Y: 43.39
X: 56.27, Y: 47.21
X: 37.53, Y: 41.47
X: 40.42, Y: 48.76
X: 45.45, Y: 32.64
X: 18.33, Y: 45.66
X: 18.33, Y: 44.8
X: 28.42, Y: 41.68
X: -23.85, Y: 38.65
X: 17.7, Y: 46.01
X: 41.26, Y: 31.7
X: 7.63, Y: 36.2
X: 6.85, Y: 30.19
X: 60.77, Y: 38.06
X: 37.89, Y: 42.32
X: 18.13, Y: 44.02
X: 4.49, Y: 30.62
X: 38.29, Y: 40.81
X: -4.75, Y: 37.03
X: -4.1, Y: 50.61
X: -6.44, Y: 34.69
X: -0.05, Y: 41.93
X: 3.84, Y: 45.46
X: 37.36, Y: 32.23
X: 13.65, Y: 34.0
X: 46.28, Y: 32.85
X: 19.95, Y: 47.74
X: 37.17, Y: 43.54
X: 5.9, Y: 36.65
X: 13.28, Y: 40.05
X: 21.89, Y: 45.38
X: 6.37, Y: 40.49
X: 23.54, Y: 33.63
X: 38.47, Y: 49.83
X: 25.27, Y: 39.51
X: 19.42, Y: 34.2
X: 24.09, Y: 49.27
X: 18.59, Y: 41.42
X: 17.58, Y: 41.78
X: 40.13, Y: 30.63
X: 26.58, Y: 42.59
X: 12.22, Y: 48.84
X: 46.72, Y: 42.23
X: 35.86, Y: 33.07
X: 5.38, Y: 38.35
X: 12.94, Y: 35.06
X: 3.91, Y: 39.19
X: 4.07, Y: 37.77
X: -6.52, Y: 39.77
X: 32.78, Y: 35.89
X: 20.54, Y: 39.29
X: 30.68, Y: 37.57
X: 5.56, Y: 40.56
X: 38.02, Y: 40.82
X: 38.0, Y: 41.97
X: 38.27, Y: 40.37
X: 27.83, Y: 46.44
X: 26.58, Y: 37.33
X: 21.51, Y: 49.59
X: 18.13, Y: 44.4
X: 20.81, Y: 44.09
X: 37.4, Y: 43.7
X: 35.84, Y: 37.54
X: 10.01, Y: 31.53
X: 17.5, Y: 46.75
X: 20.63, Y: 48.72
X: 55.51, Y: 35.28
X: 18.0, Y: 44.62
X: 22.95, Y: 31.67
X: 37.78, Y: 42.68
X: 37.77, Y: 42.69
X: 17.5, Y: 46.75
X: 17.39, Y: 47.13
X: 17.5, Y: 46.75
X: 35.83, Y: 36.0
X: 52.48, Y: 30.61
X: 5.4, Y: 50.4
X: 37.89, Y: 42.32
X: 17.71, Y: 45.96
X: 17.93, Y: 44.95
X: 20.55, Y: 46.99
X: 11.58, Y: 49.31
X: 17.7, Y: 46.01
Zone 3:
X: 31.55, Y: 81.18
X: 37.23, Y: 71.15
X: 27.34, Y: 60.11
X: 12.82, Y: 53.8
X: 27.01, Y: 61.96
X: 29.45, Y: 54.41
X: 20.11, Y: 59.45
X: 27.47, Y: 59.17
X: 22.75, Y: 58.21
X: 29.8, Y: 52.63
X: 37.84, Y: 53.22
X: 16.11, Y: 56.13
X: 13.89, Y: 61.93
X: 27.4, Y: 59.63
X: 12.73, Y: 51.46
X: 27.41, Y: 59.64
X: 27.61, Y: 58.38
X: 27.65, Y: 58.44
X: 24.5, Y: 52.51
X: 27.81, Y: 57.69
X: 26.96, Y: 54.31
X: 22.88, Y: 51.35
X: 27.82, Y: 57.65
X: 15.78, Y: 63.53
X: 27.65, Y: 58.43
X: 26.15, Y: 58.37
X: 23.88, Y: 51.4
X: 27.81, Y: 57.69
